day,location,redds
1997-07-15,rkm479,4
1997-07-22,rkm479,3
1997-08-05,rkm479,0
1997-08-12,rkm479,4
1998-05-18,rkm479,8
1998-06-01,rkm479,0
1998-06-09,rkm479,10
1998-06-15,rkm479,25
1998-06-23,rkm479,17
1998-06-30,rkm479,16
1998-07-09,rkm479,24
1998-07-13,rkm479,6
1998-07-20,rkm479,2
1998-07-27,rkm479,2
1999-05-05,rkm479,8
1999-05-12,rkm479,63
1999-05-18,rkm479,10
1999-05-27,rkm479,64
1999-06-08,rkm479,102
1999-06-16,rkm479,44
1999-06-22,rkm479,41
1999-06-29,rkm479,12
1999-07-07,rkm479,6
1999-07-12,rkm479,3
1999-07-20,rkm479,5
1999-07-27,rkm479,1
1999-08-02,rkm479,0
1999-08-16,rkm479,1
2002-05-22,rkm479,2
2002-05-29,rkm479,7
2002-06-05,rkm479,45
2002-06-13,rkm479,12
2002-06-20,rkm479,14
2002-07-11,rkm479,22
2002-07-16,rkm479,28
2002-07-24,rkm479,3
2002-07-30,rkm479,1
2002-08-20,rkm479,0
2003-05-20,rkm479,1
2003-05-27,rkm479,18
2003-06-04,rkm479,25
2003-06-11,rkm479,17
2003-06-18,rkm479,6
2003-06-25,rkm479,14
2003-07-02,rkm479,7
2003-07-09,rkm479,37
2003-07-16,rkm479,13
2003-07-25,rkm479,5
2003-07-30,rkm479,6
2003-08-06,rkm479,2
2004-06-10,rkm479,4
2004-06-17,rkm479,9
2004-06-25,rkm479,20
2004-07-02,rkm479,47
2004-07-08,rkm479,16
2004-07-14,rkm479,54
2004-07-22,rkm479,25
2004-08-05,rkm479,33
2004-08-18,rkm479,2
2004-08-25,rkm479,5
2005-05-27,rkm479,5
2005-06-03,rkm479,88
2005-06-09,rkm479,133
2005-06-24,rkm479,98
2005-06-29,rkm479,137
2005-07-07,rkm479,133
2005-07-14,rkm479,51
2005-07-29,rkm479,43
2005-08-03,rkm479,13
2006-06-08,rkm479,13
2006-06-13,rkm479,19
2006-06-30,rkm479,105
2006-07-05,rkm479,82
2006-07-14,rkm479,51
2006-07-18,rkm479,80
2007-05-10,rkm479,5
2007-05-17,rkm479,11
2007-05-24,rkm479,11
2007-05-31,rkm479,5
2007-06-08,rkm479,19
2007-06-15,rkm479,20
2007-06-22,rkm479,13
2007-06-28,rkm479,4
2007-07-05,rkm479,2
2008-04-29,rkm479,1
2008-05-27,rkm479,4
2008-06-11,rkm479,17
2008-06-16,rkm479,41
2008-06-23,rkm479,70
2008-07-03,rkm479,19
2008-07-09,rkm479,16
2008-07-21,rkm479,7
2008-08-01,rkm479,3
2008-08-18,rkm479,2
2009-06-26,rkm479,34
2009-07-09,rkm479,31
2009-07-22,rkm479,6
2009-08-05,rkm479,1
2010-06-03,rkm479,4
2010-06-08,rkm479,8
2010-06-17,rkm479,30
2010-06-22,rkm479,23
2010-06-28,rkm479,18
2010-07-09,rkm479,9
2010-07-13,rkm479,4
2010-07-22,rkm479,6
2010-07-27,rkm479,4
2010-08-04,rkm479,1
2011-06-23,rkm479,2
2011-06-30,rkm479,2
2011-07-06,rkm479,4
2011-07-14,rkm479,5
2012-05-17,rkm479,1
