day,location,temperature
1996-02-05,rkm483,9.499
1996-02-06,rkm444,10.527000000000001
1996-02-06,rkm470,9.888
1996-02-06,rkm450,
1996-02-06,rkm440,
1996-02-06,rkm479,9.667
1996-02-06,rkm483,9.568999999999999
1996-02-06,rkm485,9.52
1996-02-07,rkm485,9.546
1996-02-07,rkm450,
1996-02-07,rkm440,
1996-02-07,rkm479,9.669
1996-02-07,rkm483,9.587
1996-02-07,rkm470,9.855
1996-02-07,rkm444,10.392999999999999
1996-02-08,rkm485,9.57
1996-02-08,rkm479,9.67
1996-02-08,rkm483,9.603
1996-02-08,rkm470,9.82
1996-02-08,rkm450,
1996-02-08,rkm440,
1996-02-08,rkm444,10.255
1996-02-09,rkm450,
1996-02-09,rkm479,9.616
1996-02-09,rkm440,
1996-02-09,rkm485,9.535
1996-02-09,rkm444,10.091000000000001
1996-02-09,rkm483,9.562000000000001
1996-02-09,rkm470,9.738
1996-02-10,rkm483,9.419
1996-02-10,rkm440,
1996-02-10,rkm485,9.391
1996-02-10,rkm444,9.965
1996-02-10,rkm450,
1996-02-10,rkm479,9.475
1996-02-10,rkm470,9.601
1996-02-11,rkm444,9.77
1996-02-11,rkm470,9.495
1996-02-11,rkm450,
1996-02-11,rkm485,9.337
1996-02-11,rkm479,9.4
1996-02-11,rkm440,
1996-02-11,rkm483,9.357999999999999
1996-02-12,rkm485,9.351
1996-02-12,rkm440,
1996-02-12,rkm483,9.372
1996-02-12,rkm479,9.416
1996-02-12,rkm470,9.513
1996-02-12,rkm444,9.796
1996-02-12,rkm450,
1996-02-13,rkm440,
1996-02-13,rkm444,9.658999999999999
1996-02-13,rkm485,9.37
1996-02-13,rkm483,9.384
1996-02-13,rkm470,9.475
1996-02-13,rkm479,9.412
1996-02-13,rkm450,
1996-02-14,rkm450,
1996-02-14,rkm485,9.337
1996-02-14,rkm470,9.445
1996-02-14,rkm483,9.351
1996-02-14,rkm444,9.634
1996-02-14,rkm479,9.38
1996-02-14,rkm440,
1996-02-15,rkm483,9.35
1996-02-15,rkm444,9.607999999999999
1996-02-15,rkm479,9.376
1996-02-15,rkm470,9.436
1996-02-15,rkm485,9.337
1996-02-15,rkm450,
1996-02-15,rkm440,
1996-02-16,rkm485,9.324
1996-02-16,rkm450,
1996-02-16,rkm440,
1996-02-16,rkm444,9.712
1996-02-16,rkm483,9.342
1996-02-16,rkm479,9.38
1996-02-16,rkm470,9.465
1996-02-17,rkm444,9.988
1996-02-17,rkm483,9.321
1996-02-17,rkm479,9.389
1996-02-17,rkm470,9.543
1996-02-17,rkm485,9.287
1996-02-17,rkm450,
1996-02-17,rkm440,
1996-02-18,rkm485,9.479
1996-02-18,rkm483,9.506
1996-02-18,rkm450,
1996-02-18,rkm444,10.048
1996-02-18,rkm470,9.687000000000001
1996-02-18,rkm479,9.562000000000001
1996-02-18,rkm440,
1996-02-19,rkm470,9.633
1996-02-19,rkm483,9.404
1996-02-19,rkm450,
1996-02-19,rkm479,9.474
1996-02-19,rkm440,
1996-02-19,rkm485,9.369
1996-02-19,rkm444,10.092
1996-02-20,rkm440,
1996-02-20,rkm485,9.388
1996-02-20,rkm444,9.978
1996-02-20,rkm470,9.603
1996-02-20,rkm483,9.416
1996-02-20,rkm450,
1996-02-20,rkm479,9.474
1996-02-21,rkm444,9.879
1996-02-21,rkm450,
1996-02-21,rkm479,9.402000000000001
1996-02-21,rkm440,
1996-02-21,rkm485,9.321
1996-02-21,rkm483,9.347999999999999
1996-02-21,rkm470,9.525
1996-02-22,rkm450,
1996-02-22,rkm440,
1996-02-22,rkm470,9.297
1996-02-22,rkm483,9.221
1996-02-22,rkm479,9.244
1996-02-22,rkm444,9.449
1996-02-22,rkm485,9.21
